id,department,tenure,job_role,monthly_income,age,overtime,distance_from_home,engagementScore,job_satisfaction,environment_satisfaction,work_life_balance,attrition,comment,sentiment_score,positive_score,neutral_score,negative_score,sentiment,textblob_polarity,textblob_subjectivity,extracted_keywords,overtime_encoded,predicted_engagement,risk_cluster,turnover_risk,attrition_probability
857,Research & Development,2,Laboratory Technician,3033,20,No,3,52,3,1,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 2 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,52.692512004725344,0,Medium,0.30098660530579957
858,Research & Development,6,Research Scientist,2936,44,Yes,10,75,3,3,3,1,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,74.93422612281476,1,Low,0.1759381473490111
859,Research & Development,7,Manager,18606,53,No,7,82,3,4,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,82.28593291105207,2,Low,0.031446723837766234
860,Research & Development,5,Research Scientist,2168,29,Yes,15,70,4,2,2,0,Great career growth opportunities in Research Scientist. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",1,70.10349810986719,1,Low,0.24343646248518375
861,Research & Development,0,Research Scientist,2853,22,Yes,3,85,4,3,3,1,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,84.93471902442134,1,Low,0.14984206324255847
862,Sales,26,Manager,17048,46,No,2,55,1,3,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,54.92329002283672,2,Low,0.029376202508948065
863,Research & Development,0,Research Scientist,2290,44,No,17,82,3,4,3,0,Great career growth opportunities in Research Scientist. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",0,82.32940807698773,1,Low,0.22258304213189295
864,Human Resources,5,Human Resources,3600,33,No,2,68,3,2,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,67.52788639620726,1,Low,0.17178424079651963
865,Research & Development,1,Research Scientist,2107,41,No,5,25,1,1,1,1,Considering leaving due to toxic work culture. Compensation below market rate and no recognition for contributions.,-0.296,0.0,0.872,0.128,Negative,-0.125,0.375,"toxic, culture, compensation, market, rate",0,25.267288100932987,0,Medium,0.4699069377763399
866,Sales,4,Sales Executive,4115,30,No,29,55,1,3,3,0,Decent experience in Sales but career advancement opportunities could be better after 4 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",0,54.93023967742657,0,Medium,0.36551653441842064
867,Sales,0,Sales Executive,4327,40,No,2,58,2,2,3,0,The work in Sales Executive is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"sales, executive, okay, challenges, balance",0,57.51858911409635,0,Medium,0.22806410189532117
868,Research & Development,2,Manager,17856,50,No,2,62,1,4,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,62.2870722999356,2,Low,0.06002427211529273
869,Research & Development,6,Laboratory Technician,3196,28,No,19,62,1,4,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 6 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,62.34499585149065,1,Low,0.2724938332063013
870,Research & Development,4,Research Director,19081,46,No,15,72,2,4,3,0,Very satisfied with my role after 4 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,72.28465507595644,2,Low,0.05129977256725946
871,Sales,7,Sales Executive,8966,35,Yes,17,55,1,3,3,0,Decent experience in Sales but career advancement opportunities could be better after 7 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",1,54.92060865721308,0,Medium,0.1930893063100498
872,Research & Development,1,Laboratory Technician,2210,24,No,17,58,2,4,1,1,Decent experience in Research & Development but career advancement opportunities could be better after 1 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,57.48276587019546,1,Low,0.35670257313398473
873,Sales,10,Sales Executive,4539,33,No,25,60,3,2,2,0,Decent experience in Sales but career advancement opportunities could be better after 10 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",0,60.10058974384357,1,Low,0.25070475938164805
874,Research & Development,7,Laboratory Technician,2741,36,No,6,75,3,3,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,74.93759794862517,1,Low,0.16019052257419505
875,Research & Development,10,Laboratory Technician,3491,30,No,7,68,3,3,2,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,67.51490555199393,1,Low,0.15869012328604443
876,Research & Development,20,Research Scientist,4541,44,No,29,92,4,4,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,92.35479203621207,1,Low,0.08263043049292002
877,Sales,2,Sales Representative,2678,20,No,21,85,4,3,3,0,Very satisfied with my role after 2 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.93808912912216,1,Low,0.18801555172679363
878,Research & Development,6,Manufacturing Director,7379,46,No,2,85,4,4,2,0,Very satisfied with my role after 6 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.89662195770534,1,Low,0.07410736221205005
879,Human Resources,4,Human Resources,6272,42,No,2,70,1,4,4,0,Excellent leadership in Human Resources. Flexibility with schedule and clear communication from management.,0.8271,0.465,0.535,0.0,Positive,0.3666666666666667,0.49444444444444446,"excellent, leadership, human, resources, flexibility",0,69.75594488561363,1,Low,0.13986834494887182
880,Sales,11,Sales Executive,5220,60,Yes,7,78,4,2,3,0,I really appreciate the Sales team culture. Work-life balance is excellent and management is supportive.,0.8357,0.426,0.574,0.0,Positive,0.5666666666666667,0.7333333333333334,"sales, team, culture, balance, excellent",1,77.52084164704304,1,Low,0.10471369638064068
881,Research & Development,2,Laboratory Technician,2743,32,No,13,65,2,3,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,64.93279809511614,1,Low,0.2645744848436326
882,Research & Development,8,Research Scientist,4998,32,Yes,2,82,3,4,3,0,Very satisfied with my role after 8 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",1,82.34607164852909,1,Low,0.09247527251847242
883,Research & Development,7,Manufacturing Director,10252,36,Yes,1,55,1,3,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 7 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,54.91698934107426,0,Medium,0.12865820978851097
884,Research & Development,14,Research Scientist,2781,33,No,9,70,4,1,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,70.13575811256048,1,Low,0.14836665539327928
885,Sales,5,Sales Executive,6852,40,No,10,65,2,2,4,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,64.94349494371919,1,Low,0.16417973112915482
886,Sales,4,Sales Executive,4950,25,No,10,85,4,3,3,0,Great career growth opportunities in Sales Executive. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, sales",0,84.9288697441413,1,Low,0.12617031878803991
887,Research & Development,11,Research Scientist,3579,30,Yes,1,72,2,4,3,0,Great career growth opportunities in Research Scientist. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",1,72.35305596544302,1,Low,0.12944929445743236
888,Research & Development,1,Research Director,13191,42,Yes,26,40,1,1,3,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",1,40.080946641967174,0,Medium,0.2753910447586331
889,Sales,13,Sales Executive,10377,35,Yes,8,78,4,3,2,0,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",1,77.49602748882236,2,Low,0.061494480500626905
890,Research & Development,9,Research Scientist,2235,27,Yes,14,32,1,1,2,0,Considering leaving due to toxic work culture. Compensation below market rate and no recognition for contributions.,-0.296,0.0,0.872,0.128,Negative,-0.125,0.375,"toxic, culture, compensation, market, rate",1,32.717625696286696,0,Medium,0.37902455857147044
891,Research & Development,5,Manufacturing Director,10502,54,No,1,68,3,4,1,0,The work in Manufacturing Director is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"director, challenges, balance, overtime, requirements",0,67.4555390811702,0,Medium,0.08495132505122642
892,Research & Development,10,Research Scientist,2011,44,No,2,70,4,1,3,0,Very satisfied with my role after 10 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,70.12967587185945,1,Low,0.1534524403829918
893,Research & Development,1,Research Scientist,1859,19,Yes,10,58,2,1,4,1,The work in Research Scientist is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"research, scientist, challenges, balance, overtime",1,57.562063227944755,0,Medium,0.3015840445638422
894,Research & Development,3,Research Scientist,3760,29,No,1,70,4,1,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,70.11702012285792,1,Low,0.17574148485191265
895,Research & Development,10,Research Director,17779,54,No,3,92,4,4,3,0,Great career growth opportunities in Research Director. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",0,92.291838875705,2,Low,0.0210523440035613
896,Research & Development,6,Healthcare Representative,6833,31,Yes,11,48,1,3,2,0,The work in Healthcare Representative is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"healthcare, representative, challenges, balance, overtime",1,47.50401659651021,0,Medium,0.22721903098311755
897,Research & Development,10,Healthcare Representative,6812,31,No,24,55,1,3,3,0,The work in Healthcare Representative is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"healthcare, representative, challenges, balance, overtime",0,54.93663079271473,0,Medium,0.2107660333929023
898,Sales,6,Sales Executive,5171,59,No,3,85,4,3,3,0,I really appreciate the Sales team culture. Work-life balance is excellent and management is supportive.,0.8357,0.426,0.574,0.0,Positive,0.5666666666666667,0.7333333333333334,"sales, team, culture, balance, excellent",0,84.91798373658621,1,Low,0.09740610383981715
899,Research & Development,8,Research Director,19740,43,No,3,85,4,3,3,0,Great career growth opportunities in Research Director. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",0,84.8800605361532,2,Low,0.02333005401939726
900,Research & Development,1,Manager,18711,49,No,4,68,3,1,4,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,67.48786220088114,2,Low,0.054286348081151424
901,Research & Development,11,Research Scientist,3692,36,No,3,58,2,3,2,0,The work in Research Scientist is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"research, scientist, challenges, balance, overtime",0,57.51771686165282,0,Medium,0.1664818595455839
902,Research & Development,1,Laboratory Technician,2559,48,No,2,65,2,4,2,0,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,64.90293125323683,1,Low,0.23063693455758122
903,Research & Development,5,Research Scientist,2517,27,No,4,60,3,1,3,0,The work in Research Scientist is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"research, scientist, challenges, balance, overtime",0,60.13091648040576,0,Medium,0.21880650454938003
904,Research & Development,6,Healthcare Representative,6623,29,Yes,7,85,4,3,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,84.9290257347578,1,Low,0.0924400027984502
905,Research & Development,1,Research Director,18265,48,No,1,100,4,4,4,0,Very satisfied with my role after 1 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,99.71154599207601,2,Low,0.020428821714231698
906,Research & Development,7,Research Director,16124,29,No,1,85,4,4,2,0,Very satisfied with my role after 7 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.87755070771777,2,Low,0.03046513801123684
907,Research & Development,1,Research Scientist,2585,34,No,20,68,3,3,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 1 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,67.49923356625996,1,Low,0.2962539980206675
908,Sales,22,Manager,18213,44,No,5,58,2,2,3,0,The work in Manager is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.198,0.802,0.0,Positive,0.25,0.75,"manager, challenges, balance, overtime, requirements",0,57.50743773331116,2,Low,0.02968607844135449
909,Sales,9,Sales Executive,8380,33,Yes,10,82,3,4,3,0,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",1,82.3334997349544,1,Low,0.08084337881014668
910,Research & Development,1,Research Scientist,2994,19,Yes,25,78,4,2,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,77.52881148514606,1,Low,0.25127856465047765
911,Research & Development,1,Research Scientist,1223,23,No,1,82,3,4,3,0,Very satisfied with my role after 1 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,82.34830128114099,1,Low,0.1642123653310959
912,Sales,1,Sales Representative,1118,25,Yes,24,85,4,3,3,1,Very satisfied with my role after 1 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",1,84.9417711457427,1,Low,0.23183922596240686
913,Research & Development,8,Research Scientist,2875,26,Yes,4,78,4,3,2,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",1,77.51637327951579,1,Low,0.1357001645148492
914,Sales,24,Manager,18824,45,Yes,2,50,2,1,3,1,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",1,50.10311477577711,2,Low,0.0312116731295122
915,Research & Development,33,Healthcare Representative,13577,55,Yes,8,72,2,4,3,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,72.34611426140175,2,Low,0.023536667154770055
916,Research & Development,2,Laboratory Technician,2625,21,No,10,45,3,1,1,1,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",0,45.26803908510985,0,Medium,0.3679072138476948
917,Sales,11,Manager,18789,46,No,4,72,2,4,3,0,I really appreciate the Sales team culture. Work-life balance is excellent and management is supportive.,0.8357,0.426,0.574,0.0,Positive,0.5666666666666667,0.7333333333333334,"sales, team, culture, balance, excellent",0,72.29518350565766,2,Low,0.032968260716333825
918,Sales,3,Sales Executive,4538,34,Yes,2,55,1,3,3,0,Decent experience in Sales but career advancement opportunities could be better after 3 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",1,54.92978703716942,0,Medium,0.24063565799241712
919,Sales,29,Manager,19847,51,Yes,9,65,2,4,2,0,Decent experience in Sales but career advancement opportunities could be better after 29 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",1,64.89190709761606,2,Low,0.01893257045899686
920,Research & Development,9,Manufacturing Director,10512,59,No,18,85,4,4,2,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,84.88231488109695,1,Low,0.07196660831381788
921,Research & Development,11,Laboratory Technician,4444,34,No,19,72,2,3,4,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,72.36845121944681,1,Low,0.16494624644957093
922,Research & Development,4,Laboratory Technician,2154,28,Yes,1,75,3,4,2,0,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",1,74.91866267754786,1,Low,0.17088990195942358
923,Research & Development,25,Manager,19190,44,No,4,48,1,3,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 25 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,47.48141598050991,2,Low,0.035507044532809236
924,Human Resources,10,Human Resources,4490,34,No,11,72,2,3,4,0,Very satisfied with my role after 10 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,72.36950773609375,1,Low,0.13997026688791214
925,Research & Development,3,Research Scientist,3506,35,Yes,6,75,3,3,3,0,Great career growth opportunities in Research Scientist. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, research",1,74.93058047018299,1,Low,0.17765570829136648
926,Research & Development,1,Research Scientist,2372,42,Yes,7,58,2,2,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 1 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,57.5224740634383,1,Low,0.30414027597191146
927,Sales,21,Sales Executive,10231,43,No,4,100,4,4,4,0,Great career growth opportunities in Sales Executive. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, sales",0,99.76834972563192,2,Low,0.02215130410515207
928,Research & Development,16,Manufacturing Director,5410,36,Yes,2,65,2,3,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",1,64.9515606415469,0,Medium,0.09868136531294007
929,Research & Development,10,Healthcare Representative,7978,44,No,15,70,4,1,3,1,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,70.1071750343354,1,Low,0.12395636856466834
930,Research & Development,2,Laboratory Technician,3867,28,Yes,2,92,4,4,3,0,Very satisfied with my role after 2 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",1,92.34158379175706,1,Low,0.09832129665650402
931,Research & Development,7,Laboratory Technician,2838,51,No,6,60,3,2,2,0,The work in Laboratory Technician is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"laboratory, technician, challenges, balance, overtime",0,60.09995854551814,0,Medium,0.20638194000642093
932,Research & Development,8,Manufacturing Director,4695,30,Yes,9,75,3,3,3,0,Great career growth opportunities in Manufacturing Director. The compensation package is competitive and benefits are strong.,0.9423,0.628,0.372,0.0,Positive,0.6166666666666667,0.7416666666666667,"great, career, growth, opportunities, director",1,74.93686514578977,1,Low,0.14176524600491233
933,Research & Development,7,Laboratory Technician,3339,29,Yes,7,68,3,2,3,1,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",1,67.53608162797619,1,Low,0.17904158295973482
934,Research & Development,3,Research Scientist,2080,28,No,1,55,1,4,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 3 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,54.915329110519394,0,Medium,0.28353385563704736
935,Research & Development,2,Research Scientist,2096,25,No,1,65,2,4,2,0,Decent experience in Research & Development but career advancement opportunities could be better after 2 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",0,64.91479823478788,1,Low,0.2332572381907907
936,Sales,10,Sales Executive,6209,32,No,8,92,4,3,4,0,I really appreciate the Sales team culture. Work-life balance is excellent and management is supportive.,0.8357,0.426,0.574,0.0,Positive,0.5666666666666667,0.7333333333333334,"sales, team, culture, balance, excellent",0,92.36222525948409,1,Low,0.06879269589438741
937,Research & Development,0,Manager,18061,45,No,25,58,2,2,3,0,The work in Manager is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.198,0.802,0.0,Positive,0.25,0.75,"manager, challenges, balance, overtime, requirements",0,57.47061203581643,0,Medium,0.1115993244741652
938,Research & Development,19,Manager,17123,39,Yes,13,65,2,3,3,0,Decent experience in Research & Development but career advancement opportunities could be better after 19 years.,0.8047,0.341,0.659,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, research, development, career",1,64.91200351958284,2,Low,0.04090560608019344
939,Research & Development,2,Research Scientist,2372,58,No,23,60,3,1,3,0,The work in Research Scientist is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"research, scientist, challenges, balance, overtime",0,60.111690341286206,0,Medium,0.33033543287844513
940,Research & Development,10,Laboratory Technician,4883,32,No,7,82,3,4,3,1,I really appreciate the Research & Development team culture. Work-life balance is excellent and management is supportive.,0.8357,0.388,0.612,0.0,Positive,0.5666666666666667,0.7333333333333334,"research, development, team, culture, balance",0,82.34429708138886,1,Low,0.10056453629849049
941,Research & Development,5,Research Scientist,3904,39,No,23,55,1,3,3,1,Management is acceptable but communication could improve. Tools and resources are functional but dated.,0.6705,0.314,0.686,0.0,Positive,0.0,0.0,"management, acceptable, communication, tools, resources",0,54.93039357691916,0,Medium,0.3227453813059842
942,Research & Development,9,Laboratory Technician,4627,30,No,6,70,4,1,3,0,Excellent leadership in Research & Development. Flexibility with schedule and clear communication from management.,0.8271,0.442,0.558,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, research, development, flexibility",0,70.12319728088814,1,Low,0.14420112525884995
943,Research & Development,7,Healthcare Representative,7094,36,No,10,82,3,4,3,0,Very satisfied with my role after 7 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,82.33277585884562,1,Low,0.09352399667138388
944,Human Resources,7,Human Resources,3423,46,No,1,70,1,4,4,0,I really appreciate the Human Resources team culture. Work-life balance is excellent and management is supportive.,0.8357,0.406,0.594,0.0,Positive,0.425,0.575,"human, resources, team, culture, balance",0,69.7682143043867,1,Low,0.15667763669629395
945,Research & Development,9,Laboratory Technician,6674,28,No,1,85,4,3,3,0,Very satisfied with my role after 9 years. The work environment is collaborative and resources are adequate.,0.6115,0.25,0.75,0.0,Positive,0.4916666666666667,0.6666666666666666,"satisfied, role, environment, collaborative, resources",0,84.93421647845629,1,Low,0.06866531530152166
946,Research & Development,3,Research Director,16880,50,Yes,28,62,1,4,3,0,Average satisfaction overall. Compensation is fair but workload can be overwhelming at times.,0.3818,0.247,0.753,0.0,Positive,0.26249999999999996,0.575,"average, satisfaction, overall, compensation, fair",1,62.29291107688084,0,Medium,0.10710965932436925
947,Sales,5,Sales Executive,9094,40,Yes,25,72,2,4,3,1,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",1,72.3208893072603,1,Low,0.15564340228611345
948,Sales,8,Sales Executive,8446,52,Yes,5,50,2,2,2,1,Decent experience in Sales but career advancement opportunities could be better after 8 years.,0.8047,0.377,0.623,0.0,Positive,0.3333333333333333,0.5833333333333333,"decent, experience, sales, career, advancement",1,50.08039970415702,0,Medium,0.17718445333248722
949,Research & Development,9,Manager,11916,30,Yes,17,48,1,2,3,0,The work in Manager is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.198,0.802,0.0,Positive,0.25,0.75,"manager, challenges, balance, overtime, requirements",1,47.514987387564844,0,Medium,0.151050909479308
950,Research & Development,8,Manufacturing Director,4534,39,No,18,60,3,1,3,0,The work in Manufacturing Director is okay. Some challenges with work-life balance especially with overtime requirements.,0.296,0.186,0.814,0.0,Positive,0.25,0.75,"director, challenges, balance, overtime, requirements",0,60.123115498177995,0,Medium,0.21540873248944742
951,Sales,10,Sales Executive,9852,31,Yes,2,75,3,4,2,0,Excellent leadership in Sales. Flexibility with schedule and clear communication from management.,0.8271,0.492,0.508,0.0,Positive,0.55,0.6916666666666667,"excellent, leadership, sales, flexibility, schedule",1,74.9022271137463,1,Low,0.07012421555408624
